"[dns-saas-service-detection:akamai-cdn] [dns] [info] xrpwsi.fisglobal.com [""xrpwsi.fisglobal.com.akadns.net""]"
[caa-fingerprint] [dns] [info] pdclpcrp23.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp27.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp36.fisglobal.com
"[dns-saas-service-detection:akamai-cdn] [dns] [info] wedbush-scm.fisglobal.com [""wedbush-scm.fisglobal.com.edgekey.net""]"
"[dns-saas-service-detection:akamai-cdn] [dns] [info] wstadmin-careysecuritiesinc-uat.fisglobal.com [""wstadmin-careysecuritiesinc-uat.fisglobal.com.edgekey.net""]"
[caa-fingerprint] [dns] [info] pdclpcrp16.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp34.fisglobal.com
"[dns-saas-service-detection] [dns] [info] wstadmin.hilltopuat.fisglobal.com [""hilltopuat.fisglobal.com""]"
[caa-fingerprint] [dns] [info] pdclpcrp40.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp19.fisglobal.com
"[dns-saas-service-detection:akamai-cdn] [dns] [info] www.fisglobal.com [""fisglobal.com.edgekey.net""]"
[caa-fingerprint] [dns] [info] pdclpcrp41.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp18.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp35.fisglobal.com
[caa-fingerprint] [dns] [info] pdclpcrp37.fisglobal.com
"[dns-saas-service-detection:akamai-cdn] [dns] [info] test-developer.fisglobal.com [""test-developer.fisglobal.com.edgekey.net""]"
"[dns-saas-service-detection:akamai-cdn] [dns] [info] webaccess-fame.fisglobal.com [""webaccess-fame.fisglobal.com.edgekey.net""]"
"[dns-saas-service-detection] [dns] [info] visamobile-dr.fisglobal.com [""bdclpcrp02.fisglobal.com""]"
"[dns-saas-service-detection:akamai-cdn] [dns] [info] visamobile.fisglobal.com [""visamobile.fisglobal.com.akadns.net""]"
"[mx-fingerprint] [dns] [info] pm-bounces.fisglobal.com [""10 p-pm-bounce-smtp01a-aws-useast2a.mtasv.net."",""10 p-pm-bounce-smtp01c-aws-useast2c.mtasv.net.""]"
"[nameserver-fingerprint] [dns] [info] refer.fisglobal.com [""mark.ns.cloudflare.com."",""aitana.ns.cloudflare.com.""]"
[caa-fingerprint] [dns] [info] pdclpcrp53.fisglobal.com
